2023-05-20 12:25:05.834[1684565705834] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:25:18.326[1684565718326] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:25:41.525[1684565741525] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/account?timestamp=1684565741467&signature=128acf793095f2618b54b36e4a8f5dc4e6adfe3216b1cef1b1e0447979de70ec
2023-05-20 12:25:41.794[1684565741794] | ERROR | main       | e.c.account.AccountInformation       - fullErrMessage: [ResponseHandler] OKHTTP Error: No such host is known (testnet.binancefuture.com)
com.binance.connector.futures.client.exceptions.BinanceConnectorException: [ResponseHandler] OKHTTP Error: No such host is known (testnet.binancefuture.com)
	at com.binance.connector.futures.client.utils.ResponseHandler.handleResponse(ResponseHandler.java:54)
	at com.binance.connector.futures.client.utils.RequestHandler.sendApiRequest(RequestHandler.java:56)
	at com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest(RequestHandler.java:80)
	at com.binance.connector.futures.client.impl.cm_futures.CMAccount.accountInformation(CMAccount.java:156)
	at examples.cm_futures.account.AccountInformation.main(AccountInformation.java:22)
2023-05-20 12:27:28.942[1684565848942] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/continuousKlines?pair=ADAUSD&contractType=PERPETUAL&interval=5m
2023-05-20 12:27:30.646[1684565850646] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/depth?symbol=ADAUSD_PERP&limit=10
2023-05-20 12:27:31.100[1684565851100] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/dapi/v1/balance?timestamp=1684565851091&signature=760142710567de0cc29f097b1ef13f80357e65a3452e056408b5763aa40863c6
